7.498283360036627e-05,-4.403753719386581e-05.4,-2.7801937895780822e-05.4,-2.4261844815747252e-05.5,-3.341725795376511e-05.7,8.841077286945912e-05,0.00010922407873655304,-3.0426489662012604e-05.6,5.6733043411917345e-05.2,-2.0965896086060825e-05.5,-2.1820401312275824e-05.5,-2.963302052338439e-05.8,-8.578622110322722e-05.1,-3.591973754482332e-05.5,-2.5787747005416897e-05.8,3.3478294041352004e-05.4,-3.195239185168225e-05.6,-4.879835202563509e-05.5,8.657969024185555e-05,-1.8890669108110112e-05.10,-2.1820401312275824e-05.6,-3.158617532616153e-05.4,-3.4637979705500815e-05.4,9.420920119020376e-05,3.543144884412915e-05.3,-6.363012130922402e-05.3,-1.5289539940489755e-05.11,-3.5095750362401198e-06.6,9.347676813916233e-05,-1.5838864728770827e-05.10,-4.8493171587701165e-05.1,-4.135194934004724e-05.4,2.0477607385366653e-05.7,-3.9948119325551174e-05.5,-2.3102159151598323e-05.6,-3.0426489662012604e-05.5,0.00011026169222552838.1,0.00010458533607995732,2.1149004348821295e-05.4,-4.141298542763403e-05.3,-9.063859006637617e-06.6,0.00011636530098420696,-1.748683909361404e-05.8,-1.5594720378423685e-05.7,-1.7547875181200825e-05.8,-3.085374227512011e-05.4,0.00010061799038681626,9.677271686884876e-05,7.327382314793626e-05.1,8.37720302128634e-05,label
1.1163791067659078e-05,-3.829287875979811e-06,8.582836506844824e-06,8.748505887438941e-06,7.95358350862828e-06,9.07548492808236e-06,5.196786885958706e-06,9.382118606194034e-06,1.2417937343549668e-05,4.24173920583805e-06,1.0076767412538518e-05,7.5655683803980175e-06,-3.532826879130324e-06,7.898360381763143e-06,5.073261470604447e-06,8.290735230536162e-06,4.528296402865816e-06,6.670372429126427e-06,7.327236990774879e-06,9.416996370529486e-06,1.4695164706602871e-05,7.389726318541576e-06,6.135580042651903e-06,7.412978161432591e-06,6.145752723915161e-06,1.958241143409188e-05,7.068560238619758e-06,1.0506926506009052e-05,8.43024628787873e-06,9.107456212056249e-06,1.2211577237896192e-05,5.299966938782614e-06,1.3892976126897508e-06,5.379895148720763e-06,7.08890560114849e-06,1.4081897350379622e-05,5.0848873920499066e-06,6.042572671091156e-06,8.313987073428425e-06,8.857498900985232e-06,1.9317921721217724e-05,6.981365827783748e-06,1.3053003302486489e-05,-2.755779354543368e-05,1.3308773574277117e-05,8.585742987204602e-06,6.167551326625526e-06,5.574629332924404e-06,1.1178323469465664e-05,5.875450050318248e-06,2
1.1163791067659078e-05,-3.829287875979811e-06,8.582836506844824e-06,8.748505887438941e-06,7.95358350862828e-06,9.07548492808236e-06,5.196786885958706e-06,9.382118606194034e-06,1.2417937343549668e-05,4.24173920583805e-06,1.0076767412538518e-05,7.5655683803980175e-06,-3.532826879130324e-06,7.898360381763143e-06,5.073261470604447e-06,8.290735230536162e-06,4.528296402865816e-06,6.670372429126427e-06,7.327236990774879e-06,9.416996370529486e-06,1.4695164706602871e-05,7.389726318541576e-06,6.135580042651903e-06,7.412978161432591e-06,6.145752723915161e-06,1.958241143409188e-05,7.068560238619758e-06,1.0506926506009052e-05,8.43024628787873e-06,9.107456212056249e-06,1.2211577237896192e-05,5.299966938782614e-06,1.3892976126897508e-06,5.379895148720763e-06,7.08890560114849e-06,1.4081897350379622e-05,5.0848873920499066e-06,6.042572671091156e-06,8.313987073428425e-06,8.857498900985232e-06,4.831006332494092e-05,6.981365827783748e-06,1.3053003302486489e-05,-1.803616388189512e-05,1.3308773574277117e-05,8.585742987204602e-06,6.167551326625526e-06,5.574629332924404e-06,1.1178323469465664e-05,5.875450050318248e-06,2
1.1163791067659078e-05,-3.829287875979811e-06,8.582836506844824e-06,8.748505887438941e-06,7.95358350862828e-06,9.07548492808236e-06,5.196786885958706e-06,9.382118606194034e-06,1.2417937343549668e-05,4.24173920583805e-06,1.0076767412538518e-05,7.5655683803980175e-06,-3.532826879130324e-06,7.898360381763143e-06,5.073261470604447e-06,8.290735230536162e-06,4.528296402865816e-06,6.670372429126427e-06,7.327236990774879e-06,9.416996370529486e-06,1.4695164706602871e-05,7.389726318541576e-06,6.135580042651903e-06,7.412978161432591e-06,6.145752723915161e-06,1.958241143409188e-05,7.068560238619758e-06,1.0506926506009052e-05,8.43024628787873e-06,9.107456212056249e-06,1.2211577237896192e-05,5.299966938782614e-06,1.3892976126897508e-06,5.379895148720763e-06,7.08890560114849e-06,1.4081897350379622e-05,5.0848873920499066e-06,6.042572671091156e-06,8.313987073428425e-06,8.857498900985232e-06,1.0284580758373445e-05,6.981365827783748e-06,1.3053003302486489e-05,-1.803616388189512e-05,1.3308773574277117e-05,8.585742987204602e-06,6.167551326625526e-06,5.574629332924404e-06,1.1178323469465664e-05,5.875450050318248e-06,2
1.1163791067659078e-05,-3.829287875979811e-06,8.582836506844824e-06,8.748505887438941e-06,7.95358350862828e-06,9.07548492808236e-06,5.196786885958706e-06,9.382118606194034e-06,1.2417937343549668e-05,4.24173920583805e-06,1.0076767412538518e-05,7.5655683803980175e-06,-3.532826879130324e-06,7.898360381763143e-06,5.073261470604447e-06,8.290735230536162e-06,4.528296402865816e-06,6.670372429126427e-06,7.327236990774879e-06,9.416996370529486e-06,1.4695164706602871e-05,7.389726318541576e-06,6.135580042651903e-06,7.412978161432591e-06,6.145752723915161e-06,1.958241143409188e-05,7.068560238619758e-06,1.0506926506009052e-05,8.43024628787873e-06,9.107456212056249e-06,1.2211577237896192e-05,5.299966938782614e-06,1.3892976126897508e-06,5.379895148720763e-06,7.08890560114849e-06,1.4081897350379622e-05,5.0848873920499066e-06,6.042572671091156e-06,8.313987073428425e-06,8.857498900985232e-06,2.444495307850772e-05,6.981365827783748e-06,1.3053003302486489e-05,-3.5706111238269053e-06,1.3308773574277117e-05,8.585742987204602e-06,6.167551326625526e-06,5.574629332924404e-06,1.1178323469465664e-05,5.875450050318248e-06,2
1.1163791067659078e-05,-3.829287875979811e-06,8.582836506844824e-06,8.748505887438941e-06,7.95358350862828e-06,9.07548492808236e-06,5.196786885958706e-06,9.382118606194034e-06,1.2417937343549668e-05,4.24173920583805e-06,1.0076767412538518e-05,7.5655683803980175e-06,-3.532826879130324e-06,7.898360381763143e-06,5.073261470604447e-06,8.290735230536162e-06,4.528296402865816e-06,6.670372429126427e-06,7.327236990774879e-06,9.416996370529486e-06,1.4695164706602871e-05,7.389726318541576e-06,6.135580042651903e-06,7.412978161432591e-06,6.145752723915161e-06,1.958241143409188e-05,7.068560238619758e-06,1.0506926506009052e-05,8.43024628787873e-06,9.107456212056249e-06,1.2211577237896192e-05,5.299966938782614e-06,1.3892976126897508e-06,5.379895148720763e-06,7.08890560114849e-06,1.4081897350379622e-05,5.0848873920499066e-06,6.042572671091156e-06,8.313987073428425e-06,8.857498900985232e-06,-4.800488288700688e-05,6.981365827783748e-06,1.3053003302486489e-05,-1.144426642252226e-05,1.3308773574277117e-05,8.585742987204602e-06,6.167551326625526e-06,5.574629332924404e-06,1.1178323469465664e-05,5.875450050318248e-06,2
1.1163791067659078e-05,-3.829287875979811e-06,8.582836506844824e-06,8.748505887438941e-06,7.95358350862828e-06,9.07548492808236e-06,5.196786885958706e-06,9.382118606194034e-06,1.2417937343549668e-05,4.24173920583805e-06,1.0076767412538518e-05,7.5655683803980175e-06,-3.532826879130324e-06,7.898360381763143e-06,5.073261470604447e-06,8.290735230536162e-06,4.528296402865816e-06,6.670372429126427e-06,7.327236990774879e-06,9.416996370529486e-06,1.4695164706602871e-05,7.389726318541576e-06,6.135580042651903e-06,7.412978161432591e-06,6.145752723915161e-06,1.958241143409188e-05,7.068560238619758e-06,1.0506926506009052e-05,8.43024628787873e-06,9.107456212056249e-06,1.2211577237896192e-05,5.299966938782614e-06,1.3892976126897508e-06,5.379895148720763e-06,7.08890560114849e-06,1.4081897350379622e-05,5.0848873920499066e-06,6.042572671091156e-06,8.313987073428425e-06,8.857498900985232e-06,-4.043640802624546e-05,6.981365827783748e-06,1.3053003302486489e-05,-8.758678568703689e-06,1.3308773574277117e-05,8.585742987204602e-06,6.167551326625526e-06,5.574629332924404e-06,1.1178323469465664e-05,5.875450050318248e-06,2
1.1163791067659078e-05,-3.829287875979811e-06,8.582836506844824e-06,8.748505887438941e-06,7.95358350862828e-06,9.07548492808236e-06,5.196786885958706e-06,9.382118606194034e-06,1.2417937343549668e-05,4.24173920583805e-06,1.0076767412538518e-05,7.5655683803980175e-06,-3.532826879130324e-06,7.898360381763143e-06,5.073261470604447e-06,8.290735230536162e-06,4.528296402865816e-06,6.670372429126427e-06,7.327236990774879e-06,9.416996370529486e-06,1.4695164706602871e-05,7.389726318541576e-06,6.135580042651903e-06,7.412978161432591e-06,6.145752723915161e-06,1.958241143409188e-05,7.068560238619758e-06,1.0506926506009052e-05,8.43024628787873e-06,9.107456212056249e-06,1.2211577237896192e-05,5.299966938782614e-06,1.3892976126897508e-06,5.379895148720763e-06,7.08890560114849e-06,1.4081897350379622e-05,5.0848873920499066e-06,6.042572671091156e-06,8.313987073428425e-06,8.857498900985232e-06,-1.1322194247348686e-05,6.981365827783748e-06,1.3053003302486489e-05,6.561379415579518e-06,1.3308773574277117e-05,8.585742987204602e-06,6.167551326625526e-06,5.574629332924404e-06,1.1178323469465664e-05,5.875450050318248e-06,2
1.1163791067659078e-05,-3.829287875979811e-06,8.582836506844824e-06,8.748505887438941e-06,7.95358350862828e-06,9.07548492808236e-06,5.196786885958706e-06,9.382118606194034e-06,1.2417937343549668e-05,4.24173920583805e-06,1.0076767412538518e-05,7.5655683803980175e-06,-3.532826879130324e-06,7.898360381763143e-06,5.073261470604447e-06,8.290735230536162e-06,4.528296402865816e-06,6.670372429126427e-06,7.327236990774879e-06,9.416996370529486e-06,1.4695164706602871e-05,7.389726318541576e-06,6.135580042651903e-06,7.412978161432591e-06,6.145752723915161e-06,1.958241143409188e-05,7.068560238619758e-06,1.0506926506009052e-05,8.43024628787873e-06,9.107456212056249e-06,1.2211577237896192e-05,5.299966938782614e-06,1.3892976126897508e-06,5.379895148720763e-06,7.08890560114849e-06,1.4081897350379622e-05,5.0848873920499066e-06,6.042572671091156e-06,8.313987073428425e-06,8.857498900985232e-06,-8.45349813076976e-06,6.981365827783748e-06,1.3053003302486489e-05,-3.3875028610665487e-06,1.3308773574277117e-05,8.585742987204602e-06,6.167551326625526e-06,5.574629332924404e-06,1.1178323469465664e-05,5.875450050318248e-06,2
1.1163791067659078e-05,-3.829287875979811e-06,8.582836506844824e-06,8.748505887438941e-06,7.95358350862828e-06,9.07548492808236e-06,5.196786885958706e-06,9.382118606194034e-06,1.2417937343549668e-05,4.24173920583805e-06,1.0076767412538518e-05,7.5655683803980175e-06,-3.532826879130324e-06,7.898360381763143e-06,5.073261470604447e-06,8.290735230536162e-06,4.528296402865816e-06,6.670372429126427e-06,7.327236990774879e-06,9.416996370529486e-06,1.4695164706602871e-05,7.389726318541576e-06,6.135580042651903e-06,7.412978161432591e-06,6.145752723915161e-06,1.958241143409188e-05,7.068560238619758e-06,1.0506926506009052e-05,8.43024628787873e-06,9.107456212056249e-06,1.2211577237896192e-05,5.299966938782614e-06,1.3892976126897508e-06,5.379895148720763e-06,7.08890560114849e-06,1.4081897350379622e-05,5.0848873920499066e-06,6.042572671091156e-06,8.313987073428425e-06,8.857498900985232e-06,3.207446402685593e-05,6.981365827783748e-06,1.3053003302486489e-05,5.157549401083447e-06,1.3308773574277117e-05,8.585742987204602e-06,6.167551326625526e-06,5.574629332924404e-06,1.1178323469465664e-05,5.875450050318248e-06,2
1.1163791067659078e-05,-3.829287875979811e-06,8.582836506844824e-06,8.748505887438941e-06,7.95358350862828e-06,9.07548492808236e-06,5.196786885958706e-06,9.382118606194034e-06,1.2417937343549668e-05,4.24173920583805e-06,1.0076767412538518e-05,7.5655683803980175e-06,-3.532826879130324e-06,7.898360381763143e-06,5.073261470604447e-06,8.290735230536162e-06,4.528296402865816e-06,6.670372429126427e-06,7.327236990774879e-06,9.416996370529486e-06,1.4695164706602871e-05,7.389726318541576e-06,6.135580042651903e-06,7.412978161432591e-06,6.145752723915161e-06,1.958241143409188e-05,7.068560238619758e-06,1.0506926506009052e-05,8.43024628787873e-06,9.107456212056249e-06,1.2211577237896192e-05,5.299966938782614e-06,1.3892976126897508e-06,5.379895148720763e-06,7.08890560114849e-06,1.4081897350379622e-05,5.0848873920499066e-06,6.042572671091156e-06,8.313987073428425e-06,8.857498900985232e-06,-2.426184481574725e-05,6.981365827783748e-06,1.3053003302486489e-05,4.913405050736305e-06,1.3308773574277117e-05,8.585742987204602e-06,6.167551326625526e-06,5.574629332924404e-06,1.1178323469465664e-05,5.875450050318248e-06,2
1.1163791067659078e-05,-3.829287875979811e-06,8.582836506844824e-06,8.748505887438941e-06,7.95358350862828e-06,9.07548492808236e-06,5.196786885958706e-06,9.382118606194034e-06,1.2417937343549668e-05,4.24173920583805e-06,1.0076767412538518e-05,7.5655683803980175e-06,-3.532826879130324e-06,7.898360381763143e-06,5.073261470604447e-06,8.290735230536162e-06,4.528296402865816e-06,6.670372429126427e-06,7.327236990774879e-06,9.416996370529486e-06,1.4695164706602871e-05,7.389726318541576e-06,6.135580042651903e-06,7.412978161432591e-06,6.145752723915161e-06,1.958241143409188e-05,7.068560238619758e-06,1.0506926506009052e-05,8.43024628787873e-06,9.107456212056249e-06,1.2211577237896192e-05,5.299966938782614e-06,1.3892976126897508e-06,5.379895148720763e-06,7.08890560114849e-06,1.4081897350379622e-05,5.0848873920499066e-06,6.042572671091156e-06,8.313987073428425e-06,8.857498900985232e-06,1.1810482948043084e-05,6.981365827783748e-06,1.3053003302486489e-05,2.975509269855808e-05,1.3308773574277117e-05,8.585742987204602e-06,6.167551326625526e-06,5.574629332924404e-06,1.1178323469465664e-05,5.875450050318248e-06,2
1.1163791067659078e-05,-3.829287875979811e-06,8.582836506844824e-06,8.748505887438941e-06,7.95358350862828e-06,9.07548492808236e-06,5.196786885958706e-06,9.382118606194034e-06,1.2417937343549668e-05,4.24173920583805e-06,1.0076767412538518e-05,7.5655683803980175e-06,-3.532826879130324e-06,7.898360381763143e-06,5.073261470604447e-06,8.290735230536162e-06,4.528296402865816e-06,6.670372429126427e-06,7.327236990774879e-06,9.416996370529486e-06,1.4695164706602871e-05,7.389726318541576e-06,6.135580042651903e-06,7.412978161432591e-06,6.145752723915161e-06,1.958241143409188e-05,7.068560238619758e-06,1.0506926506009052e-05,8.43024628787873e-06,9.107456212056249e-06,1.2211577237896192e-05,5.299966938782614e-06,1.3892976126897508e-06,5.379895148720763e-06,7.08890560114849e-06,1.4081897350379622e-05,5.0848873920499066e-06,6.042572671091156e-06,8.313987073428425e-06,8.857498900985232e-06,-1.828030823224225e-05,6.981365827783748e-06,1.3053003302486489e-05,-8.02624551766226e-06,1.3308773574277117e-05,8.585742987204602e-06,6.167551326625526e-06,5.574629332924404e-06,1.1178323469465664e-05,5.875450050318248e-06,2
1.1163791067659078e-05,-3.829287875979811e-06,8.582836506844824e-06,8.748505887438941e-06,7.95358350862828e-06,9.07548492808236e-06,5.196786885958706e-06,9.382118606194034e-06,1.2417937343549668e-05,4.24173920583805e-06,1.0076767412538518e-05,7.5655683803980175e-06,-3.532826879130324e-06,7.898360381763143e-06,5.073261470604447e-06,8.290735230536162e-06,4.528296402865816e-06,6.670372429126427e-06,7.327236990774879e-06,9.416996370529486e-06,1.4695164706602871e-05,7.389726318541576e-06,6.135580042651903e-06,7.412978161432591e-06,6.145752723915161e-06,1.958241143409188e-05,7.068560238619758e-06,1.0506926506009052e-05,8.43024628787873e-06,9.107456212056249e-06,1.2211577237896192e-05,5.299966938782614e-06,1.3892976126897508e-06,5.379895148720763e-06,7.08890560114849e-06,1.4081897350379622e-05,5.0848873920499066e-06,6.042572671091156e-06,8.313987073428425e-06,8.857498900985232e-06,3.451590753032736e-05,6.981365827783748e-06,1.3053003302486489e-05,-4.2145418478675456e-05,1.3308773574277117e-05,8.585742987204602e-06,6.167551326625526e-06,5.574629332924404e-06,1.1178323469465664e-05,5.875450050318248e-06,2
1.1163791067659078e-05,-3.829287875979811e-06,8.582836506844824e-06,8.748505887438941e-06,7.95358350862828e-06,9.07548492808236e-06,5.196786885958706e-06,9.382118606194034e-06,1.2417937343549668e-05,4.24173920583805e-06,1.0076767412538518e-05,7.5655683803980175e-06,-3.532826879130324e-06,7.898360381763143e-06,5.073261470604447e-06,8.290735230536162e-06,4.528296402865816e-06,6.670372429126427e-06,7.327236990774879e-06,9.416996370529486e-06,1.4695164706602871e-05,7.389726318541576e-06,6.135580042651903e-06,7.412978161432591e-06,6.145752723915161e-06,1.958241143409188e-05,7.068560238619758e-06,1.0506926506009052e-05,8.43024628787873e-06,9.107456212056249e-06,1.2211577237896192e-05,5.299966938782614e-06,1.3892976126897508e-06,5.379895148720763e-06,7.08890560114849e-06,1.4081897350379622e-05,5.0848873920499066e-06,6.042572671091156e-06,8.313987073428425e-06,8.857498900985232e-06,-4.727244983596545e-05,6.981365827783748e-06,1.3053003302486489e-05,-9.552147707331905e-06,1.3308773574277117e-05,8.585742987204602e-06,6.167551326625526e-06,5.574629332924404e-06,1.1178323469465664e-05,5.875450050318248e-06,2
1.1163791067659078e-05,-3.829287875979811e-06,8.582836506844824e-06,8.748505887438941e-06,7.95358350862828e-06,9.07548492808236e-06,5.196786885958706e-06,9.382118606194034e-06,1.2417937343549668e-05,4.24173920583805e-06,1.0076767412538518e-05,7.5655683803980175e-06,-3.532826879130324e-06,7.898360381763143e-06,5.073261470604447e-06,8.290735230536162e-06,4.528296402865816e-06,6.670372429126427e-06,7.327236990774879e-06,9.416996370529486e-06,1.4695164706602871e-05,7.389726318541576e-06,6.135580042651903e-06,7.412978161432591e-06,6.145752723915161e-06,1.958241143409188e-05,7.068560238619758e-06,1.0506926506009052e-05,8.43024628787873e-06,9.107456212056249e-06,1.2211577237896192e-05,5.299966938782614e-06,1.3892976126897508e-06,5.379895148720763e-06,7.08890560114849e-06,1.4081897350379622e-05,5.0848873920499066e-06,6.042572671091156e-06,8.313987073428425e-06,8.857498900985232e-06,5.288776989394985e-05,6.981365827783748e-06,1.3053003302486489e-05,6.356908522163735e-05,1.3308773574277117e-05,8.585742987204602e-06,6.167551326625526e-06,5.574629332924404e-06,1.1178323469465664e-05,5.875450050318248e-06,2
1.1163791067659078e-05,-3.829287875979811e-06,8.582836506844824e-06,8.748505887438941e-06,7.95358350862828e-06,9.07548492808236e-06,5.196786885958706e-06,9.382118606194034e-06,1.2417937343549668e-05,4.24173920583805e-06,1.0076767412538518e-05,7.5655683803980175e-06,-3.532826879130324e-06,7.898360381763143e-06,5.073261470604447e-06,8.290735230536162e-06,4.528296402865816e-06,6.670372429126427e-06,7.327236990774879e-06,9.416996370529486e-06,1.4695164706602871e-05,7.389726318541576e-06,6.135580042651903e-06,7.412978161432591e-06,6.145752723915161e-06,1.958241143409188e-05,7.068560238619758e-06,1.0506926506009052e-05,8.43024628787873e-06,9.107456212056249e-06,1.2211577237896192e-05,5.299966938782614e-06,1.3892976126897508e-06,5.379895148720763e-06,7.08890560114849e-06,1.4081897350379622e-05,5.0848873920499066e-06,6.042572671091156e-06,8.313987073428425e-06,8.857498900985232e-06,-5.79842832074407e-07,6.981365827783748e-06,1.3053003302486489e-05,2.2308690012970224e-05,1.3308773574277117e-05,8.585742987204602e-06,6.167551326625526e-06,5.574629332924404e-06,1.1178323469465664e-05,5.875450050318248e-06,2
1.1163791067659078e-05,-3.829287875979811e-06,8.582836506844824e-06,8.748505887438941e-06,7.95358350862828e-06,9.07548492808236e-06,5.196786885958706e-06,9.382118606194034e-06,1.2417937343549668e-05,4.24173920583805e-06,1.0076767412538518e-05,7.5655683803980175e-06,-3.532826879130324e-06,7.898360381763143e-06,5.073261470604447e-06,8.290735230536162e-06,4.528296402865816e-06,6.670372429126427e-06,7.327236990774879e-06,9.416996370529486e-06,1.4695164706602871e-05,7.389726318541576e-06,6.135580042651903e-06,7.412978161432591e-06,6.145752723915161e-06,1.958241143409188e-05,7.068560238619758e-06,1.0506926506009052e-05,8.43024628787873e-06,9.107456212056249e-06,1.2211577237896192e-05,5.299966938782614e-06,1.3892976126897508e-06,5.379895148720763e-06,7.08890560114849e-06,1.4081897350379622e-05,5.0848873920499066e-06,6.042572671091156e-06,8.313987073428425e-06,8.857498900985232e-06,-2.987716487373153e-05,6.981365827783748e-06,1.3053003302486489e-05,-2.005035477225904e-05,1.3308773574277117e-05,8.585742987204602e-06,6.167551326625526e-06,5.574629332924404e-06,1.1178323469465664e-05,5.875450050318248e-06,2
1.1163791067659078e-05,-3.829287875979811e-06,8.582836506844824e-06,8.748505887438941e-06,7.95358350862828e-06,9.07548492808236e-06,5.196786885958706e-06,9.382118606194034e-06,1.2417937343549668e-05,4.24173920583805e-06,1.0076767412538518e-05,7.5655683803980175e-06,-3.532826879130324e-06,7.898360381763143e-06,5.073261470604447e-06,8.290735230536162e-06,4.528296402865816e-06,6.670372429126427e-06,7.327236990774879e-06,9.416996370529486e-06,1.4695164706602871e-05,7.389726318541576e-06,6.135580042651903e-06,7.412978161432591e-06,6.145752723915161e-06,1.958241143409188e-05,7.068560238619758e-06,1.0506926506009052e-05,8.43024628787873e-06,9.107456212056249e-06,1.2211577237896192e-05,5.299966938782614e-06,1.3892976126897508e-06,5.379895148720763e-06,7.08890560114849e-06,1.4081897350379622e-05,5.0848873920499066e-06,6.042572671091156e-06,8.313987073428425e-06,8.857498900985232e-06,1.90127412832838e-05,6.981365827783748e-06,1.3053003302486489e-05,1.30312046997788e-05,1.3308773574277117e-05,8.585742987204602e-06,6.167551326625526e-06,5.574629332924404e-06,1.1178323469465664e-05,5.875450050318248e-06,2
